300144,宋城演艺,905.04,16700
300122,智飞生物,883.02,99900
2595,豪迈科技,877.82,7395.56
300136,信维通信,826.87,93800
717,韶钢松山,818.22,9234.56
2557,洽洽食品,781,21300
2063,远光软件,765.76,12500
513,丽珠集团,732.06,65800
528,柳工,709.34,11000
300628,亿联网络,697.01,20100
2262,恩华药业,683.42,79100
546,金圆股份,661.81,11100
2016,世荣兆业,656.94,8458.7
2530,金财互联,654.47,26800
2717,岭南股份,592.59,6520.42
732,泰禾集团,589.54,14300
2152,广电运通,581.69,62500
488,晨鸣纸业,572.79,5736.32
2701,奥瑞金,473.56,3850.92
2698,博实股份,427.19,9861.9
2490,山东墨龙,398.25,4008.98
300036,超图软件,384.93,12100
300149,量子生物,376.01,8538.13
2611,东方精工,370.54,9673.23
2318,久立特材,368.78,5301.61
300224,正海磁材,348.72,5814.25
300724,捷佳伟创,309.24,19000
300559,佳发教育,260.73,11100
2203,海亮股份,217.01,1223.9
2145,中核钛白,196.97,14100
2614,奥佳华,187.33,4609.65
300523,辰安科技,175.89,3933.54
2372,伟星新材,172.49,4902.35
2690,美亚光电,157.45,10500
300226,上海钢联,133.33,16000
961,中南建设,111.3,20700
300741,华宝股份,108.72,11400
2911,佛燃能源,98.14,5812.72
300098,高新兴,84.46,30900
300577,开润股份,58.13,2321.9
617,中油资本,58.04,1433.69
683,远兴能源,52.15,3443.7
2607,中公教育,35.49,19600
990,诚志股份,30.68,7249.68
2859,洁美科技,29.39,19900
300257,开山股份,21.48,4894.04
2267,陕天然气,19.85,1735.64
501,鄂武商A,15.35,55200
300203,聚光科技,10.28,33700
46,泛海控股,5.16,4313.61
2285,世联行,5.08,10000
2563,森马服饰,5.01,4448.84
2041,登海种业,-2.62,17900
625,长安汽车,-9.13,48700
2907,华森制药,-13.71,1998.83
2928,华夏航空,-28.02,19100
2424,贵州百灵,-28.88,4560.73
2677,浙江美大,-64.37,5403.99
300133,华策影视,-81.3,11000
2545,东方铁塔,-89.31,11600
2832,比音勒芬,-94.88,22800
2705,新宝股份,-95.85,7577.99
300496,中科创达,-104.67,43800
2777,久远银海,-106.53,9771.1
61,农产品,-110.83,14400
300504,天邑股份,-117.99,9437.22
2737,葵花药业,-125.84,8719.7
65,北方国际,-135.97,1795.76
582,北部湾港,-141.77,4550
415,渤海租赁,-143.68,7753.3
537,广宇发展,-148.2,5244.69
517,荣安地产,-151.36,735.53
300616,尚品宅配,-169.38,2684.5
756,新华制药,-172.59,14700
831,五矿稀土,-176.62,21000
2913,奥士康,-193.94,5108.55
301,东方盛虹,-195.34,2978.72
300618,寒锐钴业,-196.08,27500
300458,全志科技,-200.93,19000
2010,传化智联,-211.78,5164.58
