网络游戏,981.037,3.58%,60.50,48.55,11.95,64,暴风集团,10.23%,1.94
智能家居,2278.7,3.58%,128.61,94.19,34.42,86,凯迪股份,44.00%,133.33
智慧城市,2909.83,3.57%,180.47,127.37,53.10,144,海能达,10.08%,6.99
独角兽概念,1001.39,3.57%,228.45,165.40,63.05,183,科达股份,10.11%,4.90
阿里巴巴概念,1230.73,3.52%,96.75,80.63,16.12,164,光云科技,11.60%,71.97
物流电商平台,515.444,3.52%,11.83,7.47,4.35,17,联络互动,9.41%,1.86
融媒体,951.976,3.49%,1.57,1.12,0.45,5,拓尔思,5.58%,11.54
移动支付,1530.9,3.49%,88.74,67.72,21.02,63,同方股份,10.06%,7.66
腾讯概念,830.377,3.47%,112.89,87.78,25.12,78,大华股份,10.01%,16.37
知识产权保护,974.199,3.47%,24.89,21.10,3.80,38,捷成股份,10.07%,4.70
ETC,1125.86,3.45%,34.27,25.98,8.29,37,万润科技,10.02%,4.50
国资驰援,1175.07,3.45%,43.54,32.53,11.01,67,三聚环保,10.08%,4.04
无人驾驶,962.881,3.44%,71.23,53.05,18.18,70,江淮汽车,10.04%,9.97
高送转预期,724.709,3.44%,7.19,5.82,1.37,11,建科机械,6.07%,30.24
职业教育,1104.03,3.40%,37.47,27.41,10.06,51,神州泰岳,10.05%,6.24
商誉减值,1048.87,3.40%,108.47,89.87,18.61,132,小商品城,10.14%,3.80
卫星导航,1856.44,3.38%,60.65,48.71,11.94,66,海能达,10.08%,6.99
大豆,1881.19,3.37%,9.57,6.68,2.89,6,哈高科,8.72%,10.35
网约车,869.238,3.37%,21.10,15.42,5.68,18,广博股份,9.93%,6.42
租售同权,709.25,3.36%,23.65,16.08,7.57,27,泰禾集团,9.98%,4.52
数字孪生,935.162,3.35%,20.62,13.65,6.97,19,神州数码,8.01%,24.68
车联网,597.39,3.34%,87.68,57.20,30.48,70,德赛西威,10.00%,57.44
高送转,4368.79,3.34%,114.62,102.87,11.75,130,漫步者,10.03%,20.85
在线教育,1883.1,3.34%,70.32,50.93,19.39,87,捷成股份,10.07%,4.70
电力物联网,889.877,3.31%,19.78,13.63,6.15,40,思源电气,6.76%,18.80
跨境电商,582.247,3.29%,26.82,22.63,4.19,52,小商品城,10.14%,3.80
