300059,东方财富,15.44,1.19,8.35%,14.25,14.70,15.60,14.70,15.68亿,405.14万,61.20亿,6.19
000725,京东方A,3.93,0.22,5.93%,3.71,3.73,3.94,3.72,14.50亿,1060.09万,41.00亿,3.13
000858,五粮液,158.59,10.39,7.01%,148.20,150.06,160.18,150.06,12.02亿,35.78万,56.24亿,0.94
002475,立讯精密,47.92,3.42,7.68%,44.50,45.80,48.54,45.80,10.14亿,94.92万,45.01亿,1.77
000063,中兴通讯,38.55,2.50,6.93%,36.05,36.72,38.88,36.60,7.96亿,122.10万,46.24亿,3.51
002456,欧菲光,15.33,1.15,8.11%,14.18,14.36,15.46,14.35,7.66亿,168.77万,25.36亿,6.33
002241,歌尔股份,22.84,1.60,7.53%,21.24,21.62,23.33,21.62,7.39亿,148.10万,33.68亿,5.44
002185,华天科技,13.89,0.97,7.51%,12.92,13.08,13.96,13.06,6.81亿,256.94万,35.02亿,9.38
300033,同花顺,116.56,9.27,8.64%,107.29,111.33,117.66,110.01,5.34亿,16.42万,18.81亿,6.11
300750,宁德时代,150.95,5.42,3.72%,145.53,147.47,153.03,146.36,4.42亿,15.18万,22.84亿,1.26
000568,泸州老窖,89.22,3.92,4.60%,85.30,85.91,90.56,85.70,4.23亿,19.43万,17.32亿,1.33
002273,水晶光电,15.96,1.45,9.99%,14.51,14.75,15.96,14.66,4.16亿,108.86万,16.92亿,9.22
300088,长信科技,9.92,0.88,9.73%,9.04,9.10,9.94,9.10,4.02亿,157.06万,15.19亿,6.52
000100,TCL科技,5.40,0.18,3.45%,5.22,5.26,5.48,5.21,3.95亿,525.22万,28.24亿,4.15
000333,美的集团,60.42,1.40,2.37%,59.02,59.30,60.48,59.30,3.80亿,29.48万,17.77亿,0.43
000002,万科A,26.40,0.70,2.72%,25.70,25.98,26.50,25.98,3.71亿,77.90万,20.49亿,0.80
300136,信维通信,42.91,3.90,10.00%,39.01,39.62,42.91,39.62,3.62亿,34.02万,14.37亿,4.19
002460,赣锋锂业,51.48,1.98,4.00%,49.50,50.40,52.36,49.12,3.51亿,36.07万,18.44亿,4.50
002236,大华股份,16.37,1.49,10.01%,14.88,14.98,16.37,14.98,3.02亿,78.77万,12.35亿,4.21
002384,东山精密,25.66,2.33,9.99%,23.33,23.99,25.66,23.84,2.96亿,53.47万,13.52亿,4.37
002174,游族网络,20.20,1.05,5.48%,19.15,19.25,20.37,19.16,2.72亿,50.73万,10.12亿,7.66
002405,四维图新,15.44,0.63,4.25%,14.81,14.90,15.49,14.82,2.47亿,64.87万,9.92亿,3.40
300058,蓝色光标,7.58,0.38,5.28%,7.20,7.25,7.75,7.19,2.46亿,250.35万,18.70亿,10.79
002142,宁波银行,26.59,0.98,3.83%,25.61,25.91,26.68,25.62,2.41亿,34.29万,9.05亿,0.61
002382,蓝帆医疗,24.50,0.59,2.47%,23.91,24.03,25.08,23.66,2.40亿,57.27万,14.01亿,8.94
002129,中环股份,18.78,1.23,7.01%,17.55,17.73,18.87,17.59,2.35亿,93.64万,17.21亿,3.49
002223,鱼跃医疗,32.00,0.88,2.83%,31.12,31.61,32.32,31.40,2.32亿,32.52万,10.40亿,3.75
002156,通富微电,24.54,1.09,4.65%,23.45,23.60,24.75,23.40,2.30亿,78.01万,18.87亿,6.76
000066,中国长城,14.18,0.45,3.28%,13.73,13.80,14.40,13.80,2.25亿,97.72万,13.84亿,3.92
000977,浪潮信息,40.30,1.77,4.59%,38.53,39.11,40.58,38.97,2.24亿,36.40万,14.52亿,2.53
000158,常山北明,9.89,0.69,7.50%,9.20,9.36,9.92,9.33,2.24亿,76.71万,7.48亿,4.89
300142,沃森生物,43.21,1.31,3.13%,41.90,42.40,43.31,41.60,2.19亿,24.48万,10.48亿,1.68
002415,海康威视,28.70,1.23,4.48%,27.47,27.60,28.81,27.60,2.18亿,64.09万,18.08亿,0.79
300002,神州泰岳,6.24,0.57,10.05%,5.67,5.72,6.24,5.70,2.16亿,153.55万,9.42亿,9.42
002481,双塔食品,14.76,1.34,9.98%,13.42,13.90,14.76,13.82,2.12亿,58.02万,8.39亿,5.24
300495,美尚生态,10.93,0.38,3.60%,10.55,10.57,11.15,10.52,2.09亿,54.33万,5.91亿,11.79
002008,大族激光,32.16,1.74,5.72%,30.42,30.68,32.16,30.66,1.93亿,24.01万,7.62亿,2.42
002938,鹏鼎控股,46.21,4.20,10.00%,42.01,42.54,46.21,42.54,1.92亿,16.08万,7.31亿,6.00
000651,格力电器,57.97,1.03,1.81%,56.94,57.51,58.26,57.19,1.91亿,57.93万,33.50亿,0.97
002385,大北农,8.50,0.24,2.91%,8.26,8.25,8.60,8.18,1.82亿,114.29万,9.61亿,4.11
000564,供销大集,4.33,0.39,9.90%,3.94,3.95,4.33,3.88,1.80亿,309.51万,13.03亿,15.43
002594,比亚迪,59.33,1.92,3.34%,57.41,57.75,59.69,57.44,1.78亿,16.11万,9.50亿,1.41
