001696,宗申动力,6.79,0.39,6.09%,6.40,6.50,6.81,6.44,6655.65万,55.07万,3.65亿,6.18
002726,龙大肉食,8.15,0.22,2.77%,7.93,7.92,8.28,7.82,6640.62万,36.02万,2.92亿,3.67
300054,鼎龙股份,13.30,0.44,3.42%,12.86,12.94,13.50,12.67,6637.85万,44.38万,5.84亿,6.18
300244,迪安诊断,28.42,0.52,1.86%,27.90,28.26,28.93,27.76,6412.54万,14.26万,4.06亿,3.14
300759,康龙化成,76.62,2.72,3.68%,73.90,74.52,78.33,73.91,6373.61万,6.73万,5.14亿,2.38
002352,顺丰控股,49.75,1.15,2.37%,48.60,49.34,50.12,48.63,6262.81万,29.85万,14.78亿,0.69
300274,阳光电源,11.82,0.21,1.81%,11.61,11.68,12.06,11.60,6097.08万,39.33万,4.68亿,3.65
002180,纳思达,30.52,0.70,2.35%,29.82,30.01,31.73,29.71,6047.42万,25.76万,7.91亿,2.56
000910,大亚圣象,16.43,1.49,9.97%,14.94,15.12,16.43,15.09,5904.35万,31.58万,5.02亿,5.77
002405,四维图新,15.50,0.06,0.39%,15.44,15.54,15.74,15.28,5586.03万,65.88万,10.23亿,3.45
300009,安科生物,15.09,0.31,2.10%,14.78,14.80,15.17,14.76,5147.43万,35.21万,5.28亿,3.70
300463,迈克生物,52.43,1.42,2.78%,51.01,51.03,53.16,50.72,5136.42万,6.68万,3.49亿,1.77
002920,德赛西威,53.89,2.19,4.24%,51.70,52.00,53.95,51.18,5096.22万,4.94万,2.61亿,4.04
002583,海能达,7.35,0.10,1.38%,7.25,7.20,7.53,7.19,5091.36万,80.74万,5.95亿,7.66
002568,百润股份,41.82,0.45,1.09%,41.37,41.08,42.20,40.63,4914.73万,7.35万,3.06亿,2.11
002624,完美世界,45.10,0.20,0.44%,44.90,45.06,45.30,44.62,4811.80万,11.73万,5.28亿,1.01
300373,扬杰科技,27.98,-0.01,-0.04%,27.99,28.01,28.62,27.80,4711.47万,20.17万,5.69亿,4.29
002080,中材科技,12.70,0.14,1.12%,12.56,12.55,12.93,12.38,4677.52万,17.35万,2.21亿,1.03
002156,通富微电,24.85,0.28,1.14%,24.57,24.75,25.90,24.33,4616.42万,80.96万,20.27亿,7.02
002812,恩捷股份,61.13,1.39,2.33%,59.74,59.98,61.58,58.98,4595.32万,6.18万,3.74亿,1.18
002821,凯莱英,218.00,7.39,3.51%,210.61,211.98,218.87,210.12,4542.09万,2.06万,4.44亿,0.92
300458,全志科技,30.91,0.76,2.52%,30.15,30.42,31.40,29.90,4371.46万,10.94万,3.36亿,5.13
000967,盈峰环境,8.42,0.20,2.43%,8.22,8.25,8.55,8.07,4254.66万,21.12万,1.76亿,1.05
300053,欧比特,12.29,0.26,2.16%,12.03,12.01,12.53,11.85,4130.91万,43.96万,5.37亿,7.47
002859,洁美科技,26.15,1.21,4.85%,24.94,25.01,27.05,24.52,4115.36万,12.98万,3.36亿,3.22
002739,万达电影,17.20,0.29,1.72%,16.91,17.03,17.47,16.92,3983.25万,18.52万,3.19亿,0.95
002603,以岭药业,28.95,1.65,6.04%,27.30,28.15,29.98,28.15,3942.34万,75.44万,22.07亿,7.64
002950,奥美医疗,36.51,1.19,3.37%,35.32,35.88,37.49,35.00,3917.41万,14.23万,5.17亿,9.55
300760,迈瑞医疗,276.56,0.90,0.33%,275.66,275.66,280.99,273.33,3817.24万,4.41万,12.21亿,0.88
002901,大博医疗,93.82,2.31,2.52%,91.51,91.64,95.20,91.50,3811.07万,1.60万,1.50亿,3.99
300773,拉卡拉,35.80,1.23,3.56%,34.57,34.58,36.19,34.12,3804.17万,15.55万,5.51亿,4.06
300595,欧普康视,55.05,0.67,1.23%,54.38,54.50,56.03,54.09,3689.74万,5.24万,2.89亿,1.21
000802,北京文化,6.43,0.17,2.72%,6.26,6.35,6.55,6.26,3582.81万,49.62万,3.19亿,6.98
